type,repository_language,count_event,date
PushEvent,Java,12984,2014-01-18
WatchEvent,C#,233,2014-01-18
PushEvent,OpenEdge ABL,46,2014-01-18
PushEvent,CSS,8709,2014-01-18
WatchEvent,R,36,2014-01-18
PushEvent,JavaScript,17981,2014-01-18
PushEvent,Python,9039,2014-01-18
CreateEvent,,0,2014-01-18
PushEvent,,0,2014-01-18
CreateEvent,JavaScript,1956,2014-01-18
PushEvent,C++,6306,2014-01-18
PushEvent,C,5768,2014-01-18
PushEvent,TeX,763,2014-01-18
PushEvent,Shell,3727,2014-01-18
PushEvent,Ruby,8253,2014-01-18
CreateEvent,CSS,660,2014-01-18
PushEvent,PHP,8790,2014-01-18
CreateEvent,Ruby,1517,2014-01-18
PushEvent,AppleScript,11,2014-01-18
PushEvent,C#,2524,2014-01-18
PushEvent,VimL,999,2014-01-18
CreateEvent,Python,867,2014-01-18
CreateEvent,Java,1146,2014-01-18
WatchEvent,JavaScript,5694,2014-01-18
WatchEvent,Objective-C,1716,2014-01-18
WatchEvent,Ruby,1407,2014-01-18
WatchEvent,CSS,1116,2014-01-18
WatchEvent,Java,1367,2014-01-18
PushEvent,Erlang,150,2014-01-18
PushEvent,Visual Basic,82,2014-01-18
PushEvent,Lasso,12,2014-01-18
WatchEvent,Python,1784,2014-01-18
CreateEvent,Apex,2,2014-01-18
WatchEvent,C,871,2014-01-18
WatchEvent,Go,430,2014-01-18
PushEvent,R,649,2014-01-18
WatchEvent,Lua,64,2014-01-18
CreateEvent,PHP,1089,2014-01-18
CreateEvent,C,562,2014-01-18
PushEvent,Objective-C,1891,2014-01-18
WatchEvent,,0,2014-01-18
PushEvent,Emacs Lisp,460,2014-01-18
PushEvent,Haskell,484,2014-01-18
CreateEvent,C++,559,2014-01-18
WatchEvent,PHP,1197,2014-01-18
PushEvent,UnrealScript,27,2014-01-18
WatchEvent,C++,831,2014-01-18
PushEvent,Vala,50,2014-01-18
PushEvent,Go,890,2014-01-18
CreateEvent,Objective-C,269,2014-01-18
WatchEvent,Shell,492,2014-01-18
PushEvent,Haxe,92,2014-01-18
PushEvent,CoffeeScript,667,2014-01-18
WatchEvent,Perl,121,2014-01-18
PushEvent,Standard ML,24,2014-01-18
WatchEvent,Scala,203,2014-01-18
PushEvent,Assembly,80,2014-01-18
PushEvent,Matlab,181,2014-01-18
PushEvent,Dart,185,2014-01-18
PushEvent,Lua,578,2014-01-18
CreateEvent,Shell,294,2014-01-18
PushEvent,D,95,2014-01-18
WatchEvent,AutoHotkey,6,2014-01-18
PushEvent,Puppet,173,2014-01-18
CreateEvent,C#,258,2014-01-18
WatchEvent,Rust,37,2014-01-18
CreateEvent,TypeScript,29,2014-01-18
WatchEvent,CoffeeScript,201,2014-01-18
PushEvent,Scala,631,2014-01-18
PushEvent,PowerShell,105,2014-01-18
PushEvent,Perl,907,2014-01-18
PushEvent,Clojure,476,2014-01-18
CreateEvent,Erlang,23,2014-01-18
WatchEvent,Common Lisp,51,2014-01-18
PushEvent,Rust,253,2014-01-18
CreateEvent,Vala,2,2014-01-18
PushEvent,ActionScript,83,2014-01-18
WatchEvent,Emacs Lisp,53,2014-01-18
WatchEvent,Clojure,256,2014-01-18
PushEvent,Processing,59,2014-01-18
WatchEvent,Scheme,10,2014-01-18
CreateEvent,DM,21,2014-01-18
CreateEvent,VHDL,4,2014-01-18
PushEvent,Coq,29,2014-01-18
CreateEvent,Rust,21,2014-01-18
PushEvent,OCaml,149,2014-01-18
CreateEvent,Haxe,5,2014-01-18
CreateEvent,Haskell,45,2014-01-18
CreateEvent,Go,94,2014-01-18
WatchEvent,VimL,198,2014-01-18
PushEvent,Julia,118,2014-01-18
CreateEvent,Clojure,46,2014-01-18
PushEvent,DM,94,2014-01-18
PushEvent,Arduino,190,2014-01-18
CreateEvent,CoffeeScript,89,2014-01-18
PushEvent,Groovy,192,2014-01-18
PushEvent,TypeScript,282,2014-01-18
WatchEvent,Erlang,30,2014-01-18
WatchEvent,Pascal,3,2014-01-18
PushEvent,XML,37,2014-01-18
PushEvent,Tcl,31,2014-01-18
PushEvent,DOT,35,2014-01-18
WatchEvent,Dart,33,2014-01-18
PushEvent,Pike,5,2014-01-18
PushEvent,Pascal,77,2014-01-18
CreateEvent,XSLT,9,2014-01-18
CreateEvent,AutoHotkey,5,2014-01-18
PushEvent,LiveScript,26,2014-01-18
PushEvent,BlitzBasic,76,2014-01-18
PushEvent,Common Lisp,99,2014-01-18
WatchEvent,TeX,23,2014-01-18
PushEvent,XC,4,2014-01-18
CreateEvent,TeX,34,2014-01-18
PushEvent,AutoHotkey,19,2014-01-18
WatchEvent,ActionScript,32,2014-01-18
WatchEvent,Haxe,15,2014-01-18
WatchEvent,F#,12,2014-01-18
WatchEvent,Puppet,24,2014-01-18
CreateEvent,CLIPS,1,2014-01-18
WatchEvent,Prolog,2,2014-01-18
PushEvent,Scheme,65,2014-01-18
WatchEvent,Haskell,75,2014-01-18
WatchEvent,Boo,1,2014-01-18
PushEvent,FORTRAN,33,2014-01-18
CreateEvent,Groovy,18,2014-01-18
WatchEvent,VHDL,4,2014-01-18
PushEvent,HaXe,10,2014-01-18
PushEvent,IDL,14,2014-01-18
WatchEvent,TypeScript,48,2014-01-18
CreateEvent,Dart,24,2014-01-18
CreateEvent,Scheme,4,2014-01-18
WatchEvent,Assembly,20,2014-01-18
PushEvent,ColdFusion,13,2014-01-18
PushEvent,Agda,3,2014-01-18
PushEvent,COBOL,5,2014-01-18
CreateEvent,Puppet,22,2014-01-18
PushEvent,JavaScript,16884,2014-02-01
PushEvent,Python,9992,2014-02-01
PushEvent,Java,11780,2014-02-01
PushEvent,CSS,8431,2014-02-01
PushEvent,Ruby,8103,2014-02-01
WatchEvent,Java,1102,2014-02-01
PushEvent,Shell,3757,2014-02-01
PushEvent,VimL,1071,2014-02-01
PushEvent,PHP,8335,2014-02-01
PushEvent,,0,2014-02-01
CreateEvent,,0,2014-02-01
WatchEvent,Python,1903,2014-02-01
PushEvent,C++,5996,2014-02-01
PushEvent,C#,2708,2014-02-01
WatchEvent,CoffeeScript,258,2014-02-01
WatchEvent,JavaScript,5909,2014-02-01
PushEvent,Go,804,2014-02-01
PushEvent,Arduino,169,2014-02-01
PushEvent,C,5449,2014-02-01
WatchEvent,Ruby,1272,2014-02-01
PushEvent,Scala,653,2014-02-01
PushEvent,Objective-C,1646,2014-02-01
CreateEvent,C,831,2014-02-01
WatchEvent,Dart,22,2014-02-01
WatchEvent,C++,619,2014-02-01
PushEvent,Scheme,76,2014-02-01
PushEvent,Puppet,154,2014-02-01
PushEvent,TeX,693,2014-02-01
WatchEvent,CSS,1433,2014-02-01
WatchEvent,Objective-C,1370,2014-02-01
PushEvent,ColdFusion,41,2014-02-01
WatchEvent,C,754,2014-02-01
CreateEvent,JavaScript,1763,2014-02-01
WatchEvent,,0,2014-02-01
WatchEvent,Gosu,2,2014-02-01
PushEvent,Lua,712,2014-02-01
PushEvent,Visual Basic,136,2014-02-01
WatchEvent,PHP,1223,2014-02-01
PushEvent,Haskell,500,2014-02-01
PushEvent,Processing,45,2014-02-01
CreateEvent,Ruby,1368,2014-02-01
CreateEvent,Shell,410,2014-02-01
WatchEvent,Shell,439,2014-02-01
PushEvent,Clojure,359,2014-02-01
PushEvent,CoffeeScript,602,2014-02-01
PushEvent,Dart,208,2014-02-01
CreateEvent,Java,1213,2014-02-01
PushEvent,IDL,77,2014-02-01
CreateEvent,C#,236,2014-02-01
